名前	ふりがな	アドレス	性別	年齢	誕生日	婚姻	都道府県	携帯	キャリア	カレーの食べ方
若槻 恵子	わかつき けいこ	wakatsuki_keiko@example.com	女	63	1953/2/2	既婚	福島県	090-4828-6827	ソフトバンク	左ルー・せき止め派
楠本 みゆき	くすもと みゆき	kusumoto_miyuki@example.com	女	73	1943/8/17	既婚	鹿児島県	090-4493-1606	ツーカー	奥ルー・ルー攻め派
高橋 杏	たかはし あん	takahashi_ann@example.com	女	79	1936/11/30	既婚	東京都	080-1594-3873	ドコモ	左ルー・せき止め派
八木 たまき	やぎ たまき	yagi_tamaki@example.com	女	59	1956/12/30	既婚	山梨県	080-4225-8997	au	ぶっかけ・ルー攻め派
吉沢 剛基	よしざわ よしき	yoshizawa_yoshiki@example.com	男	42	1973/10/27	未婚	岡山県	090-9539-9364	ドコモ	ぶっかけ・ナン派
菅野 崇史	かんの たかし	kanno_takashi@example.com	男	66	1950/7/11	既婚	愛知県	080-1082-7388	ドコモ	左ルー・せき止め派
黒岩 有起哉	くろいわ ゆきや	kuroiwa_yukiya@example.com	男	65	1951/3/4	既婚	栃木県	090-2664-2432	ドコモ	ぶっかけ・せき止め派
中野 みあ	なかの みあ	nakano_mia@example.com	女	32	1984/4/29	未婚	愛知県	090-8003- 947	ドコモ	ぶっかけ・混ぜ混ぜ派
東 遥	ひがし はるか	higashi_haruka@example.com	女	63	1952/12/23	既婚	神奈川県	080-2638-5223	ドコモ	ぶっかけ・混ぜ混ぜ派
上村 将也	うえむら まさや	uemura_masaya@example.com	男	33	1982/9/20	既婚	東京都	080-8511-2612	au	右ルー・せき止め派
滝田 一代	たきた かずよ	takita_kazuyo@example.com	女	70	1946/7/15	既婚	埼玉県	090-9125-6246	ドコモ	右ルー・ルー攻め派
妻夫木 亮	つまぶき りょう	tsumabuki_ryou@example.com	男	60	1956/3/3	既婚	千葉県	090-1471-5912	au	ぶっかけ・ルー攻め派
